case_id,difficulty,split,n_windows,null_score
1502,hard,train,43,0.1848
1503,easy,train,14,0.084
1507,medium,train,35,0.0691
1508,hard,train,22,0.1835
151,medium,train,32,0.1896
1511,hard,train,29,0.1089
1512,hard,train,46,0.0541
1513,medium,train,38,0.2553
1517,medium,test,7,0.1861
152,medium,train,24,0.1512
1520,hard,train,36,0.0592
1523,medium,train,68,0.0675
1527,medium,train,26,0.0644
1528,hard,train,27,0.2335
153,easy,train,24,0.0781
1533,medium,train,15,0.1938
1534,easy,train,12,0.2781
1539,hard,train,51,0.113
1540,easy,train,27,0.1438
1542,hard,train,22,0.0684
1546,hard,train,38,0.0617
1551,medium,train,17,0.1903
1552,easy,train,25,0.0588
1553,medium,train,48,0.1296
1554,hard,train,15,0.0846
1555,medium,train,20,0.0531
1558,medium,train,35,0.0712
1559,easy,train,33,0.0635
156,medium,train,87,0.0847
1564,hard,train,34,0.0684
1565,medium,train,10,0.2554
1566,medium,test,21,0.0622
1568,hard,train,22,0.0962
1570,easy,train,7,0.1999
1571,hard,train,30,0.2722
1575,medium,train,34,0.0618
1579,medium,train,20,0.2712
158,medium,train,82,0.1883
1582,medium,train,18,0.1634
1584,hard,train,20,0.2003
1585,easy,train,17,0.1802
1586,hard,train,46,0.0629
1587,medium,train,14,0.2684
1588,medium,train,15,0.1985
1592,hard,train,14,0.1873
1597,hard,train,42,0.07
1598,medium,train,11,0.1947
16,medium,train,35,0.0698
160,easy,train,46,0.0811
1600,easy,train,16,0.1204
1601,medium,train,14,0.1097
1602,hard,train,49,0.0595
1603,easy,train,17,0.2738
1606,medium,train,24,0.2604
1607,medium,train,17,0.276
1609,medium,train,11,0.2085
1611,medium,train,15,0.06
1612,easy,train,14,0.076
1613,medium,train,14,0.1746
1614,easy,train,35,0.0814
1615,medium,train,48,0.0895
1618,easy,train,18,0.079
1619,medium,train,16,0.2018
1621,medium,test,7,0.2961
1622,medium,train,13,0.1851
1623,easy,train,47,0.0926
1628,easy,train,11,0.2154
163,easy,train,13,0.0569
1630,hard,train,33,0.0607
1638,easy,train,10,0.2456
1639,hard,train,12,0.0689
1641,medium,train,55,0.0581
1643,easy,train,27,0.177
1646,hard,train,21,0.2449
1648,medium,train,46,0.1111
165,easy,train,11,0.1871
1652,medium,train,47,0.063
1653,medium,train,16,0.2595
1654,medium,train,6,0.2632
1655,hard,train,40,0.1858
1656,medium,train,13,0.072
1657,medium,train,54,0.0644
1658,medium,train,21,0.045
1659,easy,train,21,0.1875
166,medium,train,54,0.0607
1661,medium,train,18,0.2692
1662,medium,train,18,0.1437
1663,easy,train,7,0.2789
1665,medium,train,27,0.0599
1669,easy,train,16,0.1911
167,medium,train,23,0.0966
1670,medium,train,11,0.1926
1672,medium,train,33,0.0612
1674,medium,train,40,0.0789
1675,easy,train,20,0.0688
1676,medium,train,26,0.0792
1677,medium,train,8,0.2971
1681,medium,train,29,0.0693
1682,hard,train,10,0.2978
1684,easy,train,13,0.1079
1686,hard,train,17,0.2169
1687,medium,train,20,0.0566
1688,medium,train,28,0.0614
1689,medium,test,23,0.0687
169,medium,train,19,0.2618
1690,medium,train,26,0.0714
1697,easy,train,11,0.1066
1698,easy,train,7,0.2841
17,hard,train,43,0.0653
1700,medium,train,31,0.0817
1703,medium,train,83,0.0595
1704,easy,train,7,0.2684
1705,medium,train,42,0.0631
1706,medium,train,54,0.0612
1708,medium,train,71,0.0551
1709,medium,train,26,0.1782
1710,hard,train,43,0.0564
1713,hard,train,11,0.1898
1715,easy,test,24,0.2435
1716,medium,train,24,0.0618
1718,medium,train,42,0.1271
1719,hard,train,11,0.0713
172,medium,train,12,0.0773
1723,medium,train,22,0.1932
1726,medium,train,67,0.0668
1728,medium,train,25,0.09
1730,medium,train,48,0.0457
1734,medium,train,19,0.0952
1735,hard,train,36,0.0633
1736,hard,train,12,0.1894
1740,medium,train,23,0.1818
1744,medium,train,17,0.2229
1747,medium,train,36,0.0617
1748,medium,train,13,0.0368
1749,easy,test,24,0.0746
1753,easy,train,16,0.0932
1756,medium,train,31,0.0618
1757,easy,train,32,0.0642
1762,medium,train,33,0.067
1764,easy,train,36,0.2569
1765,medium,train,45,0.0849
1767,hard,train,35,0.264
1768,medium,train,29,0.0659
177,medium,train,38,0.0677
1770,medium,train,13,0.2049
1771,easy,test,18,0.0677
1776,easy,train,11,0.1934
1778,medium,train,13,0.2461
1779,medium,train,58,0.0752
1781,easy,train,21,0.2255
1784,easy,train,30,0.0766
1785,hard,train,40,0.0494
1788,medium,train,24,0.1871
1791,medium,train,22,0.2639
1792,hard,train,16,0.1839
1794,easy,train,17,0.277
1795,easy,dev,6,0.3075
180,hard,train,20,0.133
1802,medium,train,26,0.0614
1804,medium,train,35,0.111
1805,hard,train,20,0.0591
1809,hard,test,45,0.0687
181,hard,train,31,0.1139
1810,hard,train,21,0.0609
1814,medium,train,23,0.0449
1815,medium,train,31,0.2415
182,hard,train,41,0.2717
1820,hard,train,41,0.0231
1824,medium,train,23,0.1877
1825,medium,train,21,0.0259
1826,hard,train,17,0.0622
1828,medium,train,21,0.2585
1834,easy,train,27,0.1482
1836,hard,train,24,0.0701
1837,easy,train,10,0.1791
1839,medium,test,10,0.2043
1840,medium,train,32,0.086
1841,easy,train,10,0.2822
1844,hard,train,26,0.0597
1847,medium,train,15,0.2588
1849,medium,train,9,0.0972
1851,hard,train,5,0.2709
1852,medium,train,40,0.0595
1855,medium,train,47,0.0723
1856,medium,train,20,0.2709
1859,medium,train,38,0.1871
1861,easy,train,10,0.2773
1865,medium,train,13,0.0719
1866,easy,train,14,0.0894
1868,easy,train,30,0.2591
1870,medium,train,19,0.1834
1871,medium,train,31,0.2737
1875,medium,train,31,0.0581
1876,easy,train,8,0.087
1879,easy,train,30,0.187
1881,medium,train,7,0.2357
1882,medium,train,23,0.0656
1883,easy,train,6,0.2791
1889,medium,train,43,0.2537
1890,hard,test,13,0.2586
1891,hard,train,38,0.0606
1894,hard,train,21,0.0443
1896,medium,train,47,0.0664
1897,medium,train,46,0.0914
19,hard,train,48,0.0562
1900,hard,train,68,0.0477
1901,hard,train,35,0.0656
1904,easy,train,35,0.1868
1906,hard,train,46,0.2619
1908,easy,test,19,0.2762
1911,easy,train,11,0.0927
1912,medium,train,78,0.0577
1918,medium,train,53,0.0734
1919,medium,train,24,0.2711
192,medium,train,21,0.2638
1920,medium,train,29,0.0724
1921,easy,train,4,0.1838
1922,medium,train,54,0.0539
1923,medium,train,24,0.2085
1924,medium,train,11,0.2745
1925,medium,train,16,0.04
1927,medium,train,30,0.2691
1929,medium,train,22,0.2811
193,medium,train,22,0.2327
1933,hard,train,20,0.0597
1936,hard,train,86,0.057
1938,medium,train,72,0.0586
194,medium,train,21,0.1877
1940,hard,train,18,0.2401
1942,medium,test,20,0.1151
1943,easy,train,12,0.0763
1944,medium,train,40,0.0533
1945,easy,train,18,0.2444
1946,hard,train,14,0.1904
1947,easy,train,33,0.0669
195,medium,train,70,0.0529
1951,medium,train,25,0.2666
1954,easy,train,16,0.1895
1956,easy,train,12,0.0643
1957,medium,train,15,0.0676
1958,hard,train,26,0.2683
1959,medium,train,58,0.0437
1966,medium,train,27,0.1466
1967,medium,train,17,0.1856
1968,easy,train,16,0.1861
1969,medium,train,20,0.0562
1970,hard,train,23,0.1934
1971,medium,train,11,0.2413
1973,medium,train,46,0.0663
1974,hard,train,24,0.1888
1976,medium,train,41,0.1008
1977,medium,train,25,0.1886
1979,easy,train,19,0.1863
1985,medium,train,16,0.0658
1989,easy,train,15,0.184
199,easy,train,13,0.0903
1990,medium,train,39,0.2678
1994,easy,train,18,0.0665
1995,hard,train,34,0.0539
1997,easy,train,17,0.2644
1999,medium,train,23,0.1094
20,easy,train,61,0.0592
200,medium,train,25,0.0744
2000,hard,train,33,0.0741
2002,easy,train,28,0.0601
2003,medium,train,22,0.1861
2004,medium,train,45,0.0654
2009,easy,train,19,0.0745
2010,medium,train,27,0.0846
2012,easy,train,12,0.0675
2014,hard,train,64,0.0702
2015,hard,train,7,0.1029
2016,medium,train,54,0.1442
202,medium,train,71,0.0816
2022,easy,train,17,0.2583
2023,easy,train,8,0.2752
2024,hard,train,8,0.2789
2025,easy,train,7,0.086
2029,medium,train,32,0.0657
203,medium,train,15,0.0657
2031,easy,train,18,0.2786
2032,medium,train,20,0.1878
2033,easy,train,24,0.2651
2039,easy,train,31,0.1175
204,hard,train,28,0.2431
2041,easy,train,41,0.1347
2043,easy,train,20,0.276
2044,hard,train,39,0.0712
2045,medium,train,19,0.1821
2046,medium,train,12,0.0628
2047,hard,train,42,0.2555
2048,easy,train,10,0.2699
2049,medium,train,28,0.061
205,hard,train,35,0.1906
2051,medium,test,27,0.0652
2052,hard,train,37,0.2112
2053,easy,train,12,0.2843
2058,hard,train,13,0.0602
2060,medium,train,41,0.0562
2063,medium,test,33,0.0636
2066,medium,train,53,0.1308
2072,medium,train,51,0.0866
2074,medium,train,13,0.0865
2075,medium,train,24,0.0715
2076,easy,test,19,0.1844
2079,easy,train,13,0.2657
208,medium,train,19,0.1587
2080,easy,train,12,0.2505
2083,medium,train,11,0.0929
2084,medium,test,12,0.1885
2085,easy,train,14,0.0594
2087,medium,train,16,0.1937
2088,hard,train,19,0.0584
2090,medium,train,15,0.28
2094,hard,train,25,0.2268
2097,medium,train,11,0.0927
2098,medium,train,18,0.072
210,hard,train,39,0.1195
2101,medium,train,18,0.2664
2102,easy,train,17,0.2736
2103,hard,train,14,0.182
2105,medium,train,20,0.1901
2106,medium,train,37,0.0622
211,medium,train,26,0.1888
2111,hard,train,6,0.0591
2113,easy,train,9,0.2285
2114,easy,train,23,0.0783
2116,hard,train,14,0.1881
2118,medium,train,29,0.0648
2119,easy,train,11,0.2078
212,easy,train,10,0.1724
2120,medium,train,26,0.0974
2121,medium,train,25,0.0753
2123,medium,train,37,0.2372
2124,hard,train,13,0.1944
2125,medium,train,14,0.2159
2127,easy,train,13,0.2631
2128,medium,train,18,0.0932
2129,medium,train,16,0.267
2130,hard,train,30,0.0861
2131,easy,train,15,0.2675
2133,hard,train,28,0.1444
2134,hard,train,43,0.0685
2135,easy,train,17,0.0739
2139,hard,train,24,0.0627
2141,medium,train,16,0.1735
2144,medium,train,27,0.2654
2148,medium,train,14,0.0747
215,hard,train,10,0.1885
2150,easy,train,22,0.0497
2152,hard,train,28,0.2632
2154,medium,train,72,0.1452
2157,hard,train,11,0.0747
2158,medium,train,13,0.0688
2159,hard,test,10,0.2177
216,easy,train,10,0.2817
2160,medium,test,78,0.1972
2161,hard,train,46,0.0754
2162,easy,train,9,0.0617
2163,easy,train,26,0.0771
2165,medium,train,47,0.0821
2166,medium,train,19,0.2684
2168,medium,train,77,0.0465
2170,easy,train,11,0.0937
2174,hard,train,19,0.0367
2175,easy,test,25,0.1098
218,medium,train,38,0.0693
2180,easy,train,22,0.1887
2185,hard,train,51,0.0543
2189,medium,train,18,0.2746
219,easy,train,8,0.2631
2193,medium,train,10,0.2695
2194,medium,train,67,0.0699
2196,medium,train,16,0.0707
2198,medium,train,12,0.2626
22,medium,train,29,0.1678
2200,medium,train,33,0.274
2202,hard,train,55,0.0919
2204,easy,train,6,0.2043
2208,easy,test,8,0.2007
221,easy,train,10,0.1238
2211,easy,train,13,0.2484
2213,medium,train,24,0.0763
2215,hard,test,19,0.1758
2217,hard,train,8,0.2839
2218,easy,train,18,0.0666
2219,easy,train,43,0.069
222,medium,train,22,0.0761
2222,medium,test,21,0.0716
2224,easy,train,14,0.0695
2228,easy,train,15,0.2789
2229,hard,train,24,0.0571
223,hard,train,12,0.1843
2231,medium,train,30,0.0679
2232,medium,train,13,0.283
2235,medium,train,25,0.173
2237,medium,train,14,0.2647
2238,medium,train,35,0.0621
2241,medium,train,21,0.0681
2243,medium,test,28,0.0998
2244,medium,train,21,0.0677
2247,medium,train,19,0.1833
2248,medium,train,23,0.0598
2249,easy,train,32,0.0706
225,easy,train,21,0.2449
2252,hard,test,55,0.0503
2256,medium,train,6,0.2293
2257,medium,train,15,0.275
2259,easy,train,8,0.1935
226,easy,train,12,0.2182
2263,easy,train,22,0.2047
2264,medium,train,11,0.2574
2267,hard,train,50,0.054
2269,medium,train,28,0.2704
227,hard,train,9,0.1887
2270,medium,train,12,0.2056
2273,hard,train,51,0.0644
2276,easy,train,12,0.0923
2277,easy,train,12,0.2582
2280,medium,train,56,0.049
2281,medium,train,34,0.0704
2282,medium,train,25,0.0542
2283,easy,train,18,0.0662
2284,medium,train,21,0.0874
2286,medium,train,15,0.2748
2288,easy,train,10,0.277
2289,easy,train,16,0.2697
229,medium,train,38,0.1221
2290,hard,train,8,0.2068
2292,medium,train,28,0.1142
2294,hard,train,13,0.2554
2295,medium,train,20,0.046
2296,medium,train,35,0.0541
2299,hard,train,12,0.1384
2304,hard,train,53,0.0754
2308,medium,train,30,0.177
2309,medium,train,16,0.0886
231,easy,train,19,0.2689
2310,medium,train,49,0.0593
2311,medium,train,33,0.068
2313,easy,train,11,0.0919
2314,hard,train,16,0.2654
2315,medium,train,15,0.0646
2316,hard,train,21,0.1854
2317,medium,train,10,0.0529
2319,medium,train,21,0.0603
2324,hard,train,30,0.0671
2325,medium,train,38,0.0509
2326,hard,train,45,0.0503
2327,hard,train,48,0.0569
2332,hard,train,56,0.0555
2343,hard,train,16,0.1906
2344,hard,train,25,0.0925
2349,medium,train,53,0.0665
235,medium,train,24,0.1996
2352,medium,train,70,0.1268
2353,medium,train,41,0.057
2355,medium,train,19,0.2776
2356,hard,train,52,0.0659
2358,hard,test,24,0.1925
2359,easy,train,41,0.0671
236,hard,train,43,0.0623
2360,hard,train,32,0.2548
2361,medium,train,13,0.1926
2363,medium,train,16,0.1893
2364,medium,train,23,0.1005
2365,easy,train,17,0.1159
237,hard,train,48,0.0783
2373,medium,train,47,0.0848
2374,medium,train,14,0.1909
2375,hard,train,46,0.0818
2377,easy,train,26,0.0747
2378,hard,train,23,0.2617
2379,hard,train,6,0.0535
2380,medium,train,32,0.0545
2381,medium,train,31,0.0796
2382,medium,train,19,0.0667
2385,medium,train,40,0.2569
2387,medium,train,22,0.2348
2392,easy,train,29,0.0708
2393,hard,train,34,0.0582
2395,medium,train,18,0.2029
240,easy,train,19,0.1967
2401,hard,train,33,0.1398
2403,medium,train,38,0.2674
2404,medium,train,12,0.2318
2406,easy,train,11,0.2425
2407,hard,train,26,0.25
2408,easy,train,8,0.2753
2409,easy,train,23,0.0716
241,easy,train,69,0.0773
2410,medium,train,19,0.2541
2411,hard,train,31,0.0657
2412,easy,train,33,0.0664
2413,easy,train,11,0.0857
2415,easy,train,29,0.2769
2417,medium,train,27,0.0859
2419,hard,train,19,0.0605
2420,easy,train,70,0.1397
2424,medium,train,72,0.0604
2425,easy,train,20,0.0679
2426,medium,train,27,0.1914
2427,medium,train,22,0.0951
2428,hard,train,16,0.0602
2429,easy,train,11,0.2948
2433,hard,train,79,0.1406
2434,medium,train,17,0.0622
2435,medium,train,26,0.0902
2436,medium,train,21,0.087
2437,medium,train,17,0.2757
2438,medium,train,33,0.0659
2442,easy,train,11,0.0627
2443,hard,train,64,0.073
2444,hard,train,25,0.0547
2445,medium,train,43,0.0698
2446,hard,train,48,0.0918
2448,easy,train,36,0.26
245,hard,train,19,0.1611
2450,medium,train,17,0.061
2453,hard,train,57,0.0531
2456,easy,train,24,0.1913
2457,hard,train,11,0.1302
2458,hard,train,57,0.0662
246,medium,train,15,0.0904
2465,easy,train,6,0.1958
2466,easy,train,10,0.0666
2467,medium,train,7,0.1702
2469,medium,train,16,0.0622
247,medium,train,55,0.0584
2472,medium,train,26,0.0745
2477,easy,train,18,0.2528
2479,easy,train,22,0.0717
248,easy,train,15,0.1912
2480,hard,train,40,0.0655
2481,easy,train,20,0.0712
2482,medium,train,32,0.0604
2483,medium,train,22,0.1258
2488,easy,train,16,0.2726
2489,medium,train,40,0.0749
2491,hard,train,23,0.1871
2493,hard,train,55,0.0805
2495,medium,train,55,0.1318
2497,medium,train,42,0.0607
2498,medium,train,24,0.1767
2500,medium,train,10,0.0845
2503,easy,train,21,0.0989
2504,hard,train,63,0.089
2507,hard,train,29,0.071
2509,medium,train,14,0.0642
251,hard,train,51,0.0652
2511,medium,train,7,0.0731
2513,hard,train,26,0.2858
2515,medium,train,17,0.255
2518,medium,train,14,0.2415
2521,easy,train,24,0.1022
2522,medium,train,45,0.1869
2524,hard,train,14,0.19
2526,hard,train,6,0.2543
2527,medium,train,52,0.1295
2528,hard,train,9,0.0828
253,medium,train,12,0.1817
2533,easy,train,11,0.036
2539,medium,train,9,0.0812
2540,hard,train,16,0.1854
2541,easy,train,21,0.1877
2542,medium,train,15,0.0717
2546,hard,train,8,0.1869
2548,medium,train,18,0.2895
2549,easy,train,36,0.0549
2550,medium,train,23,0.2648
2551,hard,train,32,0.1888
2554,medium,train,23,0.2859
2555,hard,train,18,0.1891
2562,medium,train,27,0.0583
2565,medium,train,22,0.1895
2567,hard,train,18,0.1917
2569,easy,train,7,0.0539
2570,hard,train,10,0.1545
2572,easy,train,15,0.0659
2573,medium,train,21,0.2739
2576,easy,train,15,0.0979
2577,medium,train,8,0.2725
2578,medium,train,78,0.1041
2579,medium,train,13,0.2491
258,medium,train,20,0.0629
2580,hard,train,59,0.1313
2583,hard,train,6,0.076
2585,medium,train,31,0.1117
2586,hard,train,35,0.1894
2587,hard,train,34,0.0708
2588,hard,train,16,0.1905
2589,medium,train,25,0.0599
259,medium,train,8,0.2324
2593,hard,train,31,0.0652
2594,hard,train,20,0.0248
2597,medium,train,18,0.0932
260,easy,train,16,0.1917
2602,easy,train,13,0.1376
2603,easy,train,14,0.245
2607,hard,train,12,0.1133
2608,medium,train,19,0.0843
261,easy,train,29,0.0377
2612,easy,train,37,0.016
2613,medium,train,21,0.0562
2614,medium,train,15,0.2158
2615,easy,dev,6,0.3066
2616,medium,train,6,0.0662
2617,medium,test,34,0.1897
2618,medium,train,51,0.0511
262,medium,train,11,0.2034
2623,medium,test,11,0.1815
2628,medium,train,49,0.0673
263,medium,train,28,0.0768
2632,medium,train,29,0.0813
2633,easy,test,35,0.1509
2635,hard,train,13,0.2804
2639,medium,train,11,0.0768
2641,easy,train,21,0.072
2642,hard,train,27,0.1887
2644,medium,train,15,0.0648
2646,easy,train,23,0.0813
2647,easy,test,17,0.265
2649,medium,train,22,0.2627
2650,medium,train,17,0.2765
2653,medium,train,50,0.2053
2655,easy,train,23,0.1511
2657,medium,train,19,0.0741
2661,medium,train,25,0.2714
2662,medium,train,84,0.1322
2664,medium,train,90,0.0564
2665,hard,train,22,0.1509
2666,medium,train,21,0.2396
2667,medium,train,46,0.0854
267,medium,train,15,0.1993
2671,easy,train,29,0.0998
2673,easy,train,13,0.1039
2675,medium,train,29,0.2701
2676,easy,train,12,0.0648
2678,hard,train,15,0.0546
2679,hard,train,39,0.1238
268,medium,test,8,0.0332
2680,medium,train,38,0.0582
2683,easy,test,14,0.1882
2684,hard,train,16,0.267
2685,easy,train,59,0.1774
2687,medium,train,17,0.0786
2690,easy,train,11,0.0885
2691,medium,train,19,0.2176
2694,medium,train,12,0.22
2697,medium,train,23,0.069
2698,hard,train,17,0.0677
2702,hard,train,14,0.1949
2707,medium,train,25,0.1864
2708,medium,train,51,0.2311
2709,easy,train,15,0.1994
2710,easy,train,11,0.289
2711,medium,train,42,0.1432
2713,easy,train,28,0.0643
2714,hard,train,14,0.2101
2716,medium,train,55,0.0521
2717,hard,train,23,0.0582
2721,easy,train,16,0.0989
2728,hard,train,11,0.186
2732,hard,train,17,0.0698
2733,hard,train,43,0.0963
2734,hard,train,17,0.2714
2735,easy,train,26,0.0885
2736,medium,train,6,0.0702
2738,medium,train,49,0.048
